rank,track,artist,billed_artist_count,is_collaboration,spotify_streams_total,daily_streams,daily_streams_rank,daily_stream_share_pct,wrapped_global_top10_rank,rank_delta,viral_momentum_index
1,Ordinary,Alex Warren,1,False,1948570210,2333502,11,0.1198,4.0,-10,1.197545762953265
2,DtMF,Bad Bunny,1,False,1912497312,3017476,3,0.1578,5.0,-1,1.5777674454698698
3,Golden,HUNTR/X,1,False,1759912501,2286960,14,0.1299,7.0,-11,1.2994736939484506
4,BAILE INoLVIDABLE,Bad Bunny,1,False,1553054400,2624716,7,0.169,,-3,1.6900348103131255
5,The Fate of Ophelia,Taylor Swift,1,False,1425834222,3046797,2,0.2137,,3,2.136852202628047
6,NUEVAYoL,Bad Bunny,1,False,1304961163,2331822,12,0.1787,,-6,1.7868899583589448
7,Man I Need,Olivia Dean,1,False,1163100298,3075070,1,0.2644,,6,2.643856254395134
8,EoO,Bad Bunny,1,False,1134697302,1852754,20,0.1633,,-12,1.6328178405831637
9,La Plena,W Sound,1,False,1122378160,1440291,31,0.1283,,-22,1.2832493094098967
10,VOY A LLeVARTE PA PR,Bad Bunny,1,False,983744897,1286871,34,0.1308,,-24,1.3081348656712424
11,Manchild,Sabrina Carpenter,1,False,981082452,1976118,19,0.2014,,-8,2.0142221420404915
12,Clean Baby Sleep White Noise (Loopable no fade),Dream Supplier,1,False,960025082,2763626,5,0.2879,,7,2.878701868251082
13,undressed,sombr,1,False,945060981,1355653,32,0.1434,,-19,1.4344608716477514
14,Don’t Say You Love Me,Jin,1,False,944886547,914780,58,0.0968,,-44,0.9681373937815866
15,VeLDÁ,Bad Bunny,1,False,896447955,1197282,36,0.1336,,-21,1.3355845054768578
16,like JENNIE,JENNIE,1,False,863266315,962240,52,0.1115,,-36,1.1146502326867114
17,Sports car,Tate McRae,1,False,857317165,801308,73,0.0935,,-56,0.9346692586813315
18,So Easy (To Fall In Love),Olivia Dean,1,False,847224271,2534851,9,0.2992,,9,2.991948039940008
19,Gabriela,KATSEYE,1,False,839510868,1450285,30,0.1728,,-11,1.7275357038885462
20,WHERE IS MY HUSBAND!,RAYE,1,False,833325921,2444119,10,0.2933,,10,2.9329688846520727
21,DAISIES,Justin Bieber,1,False,830599247,2317392,13,0.279,,8,2.790024197084272
22,Abracadabra,Lady Gaga,1,False,801798555,638803,102,0.0797,,-80,0.7967125847505268
23,No Broke Boys,Disco Lines,1,False,761482483,1639517,25,0.2153,,-2,2.1530593735889534
24,Soda Pop,Saja Boys,1,False,760211482,690317,92,0.0908,,-68,0.9080591591116495
25,Opalite,Taylor Swift,1,False,755870394,1570535,27,0.2078,,-2,2.077783453868437
26,Your Idol,Saja Boys,1,False,736752555,543611,132,0.0738,,-106,0.7378474571590085
27,TU SANCHO,Fuerza Regida,1,False,678620909,2125598,16,0.3132,,11,3.1322318081828633
28,Marlboro Rojo,Fuerza Regida,1,False,674740134,1562264,28,0.2315,,0,2.3153565631604236
29,12 to 12,sombr,1,False,673035539,1772502,21,0.2634,,8,2.6335934652128477
30,Te Quería Ver,Alemán,1,False,671258573,599829,112,0.0894,,-82,0.8935885860282509
31,Just Keep Watching (From F1® The Movie),Tate McRae,1,False,662648391,1082331,39,0.1633,,-8,1.633341321078766
32,KLOuFRENS,Bad Bunny,1,False,658567308,999823,50,0.1518,,-18,1.5181789110033095
33,Show Me Love,WizTheMc,1,False,643142920,929630,55,0.1445,,-22,1.4454485459539095
34,How It’s Done,HUNTR/X,1,False,641911586,597522,114,0.0931,,-80,0.9308478178319595
35,no tiene sentido,Beéle,1,False,634620760,885133,64,0.1395,,-29,1.3947432142075793
36,JUMP,BLACKPINK,1,False,623525520,816487,72,0.1309,,-36,1.309468453978486
37,NOKIA,Drake,1,False,622303060,559273,130,0.0899,,-93,0.8987148465914423
38,Raindance,Dave,1,False,608011016,2762424,6,0.4543,,32,4.5433782000038985
39,What It Sounds Like,HUNTR/X,1,False,601777378,573336,120,0.0953,,-81,0.9527377066793998
40,Morena,Neton Vega,1,False,598038433,539321,135,0.0902,,-95,0.9018166213711943
41,I Really Like You,Carly Rae Jepsen,1,False,592587611,232005,352,0.0392,,-311,0.3915117280581964
42,Bullet With Butterfly Wings,The Smashing Pumpkins,1,False,584919916,316607,261,0.0541,,-219,0.5412826453642543
43,Anxiety,Doechii,1,False,569640172,529801,140,0.093,,-97,0.93006256424966
44,Stateside + Zara Larsson,PinkPantheress,1,False,559516865,2537274,8,0.4535,,36,4.534758743090329
45,WELTiTA,Bad Bunny,1,False,552943518,697791,91,0.1262,,-46,1.2619571005406793
46,Mystical Magical,Benson Boone,1,False,552296125,816772,71,0.1479,,-25,1.47886606758491
47,Gnarly,KATSEYE,1,False,541671166,823647,69,0.1521,,-22,1.520566443589197
48,Revolving door,Tate McRae,1,False,526885514,563808,125,0.107,,-77,1.0700768648005061
49,Takedown,HUNTR/X,1,False,516004235,514291,147,0.0997,,-98,0.996679802450304
50,Por Esos Ojos,Fuerza Regida,1,False,512442675,781590,76,0.1525,,-26,1.5252242574738253
51,TU VAS SIN (fav),Rels B,1,False,511049664,1037895,44,0.2031,,7,2.0309082875536175
52,Folded,Kehlani,1,False,493498588,1065769,41,0.216,,11,2.159619143308229
53,Nice To Each Other,Olivia Dean,1,False,486900365,1006869,48,0.2068,,5,2.067915882404574
54,Die On This Hill,SIENNA SPIRO,1,False,474422630,1592858,26,0.3357,,28,3.357466309401248
55,En Privado,Xavi,1,False,470258488,642634,101,0.1367,,-46,1.366554809816522
56,Tears,Sabrina Carpenter,1,False,469159053,724772,87,0.1545,,-31,1.5448321711382766
57,QLOO*,Young Cister,1,False,465568840,850279,66,0.1826,,-9,1.8263228230086817
58,YO y TÚ,Ovy On The Drums,1,False,461572434,784039,75,0.1699,,-17,1.6986261322125964
59,Shake It To The Max (FLY),MOLIY,1,False,459214759,460227,170,0.1002,,-111,1.0022042845486934
60,bergema sampai selamanya,Nadhif Basalamah,1,False,450131763,898737,62,0.1997,,-2,1.996608708555835
61,Azizam,Ed Sheeran,1,False,448805160,502929,151,0.1121,,-90,1.1205954024222997
62,P do Pecado,Grupo Menos É Mais,1,False,444670782,554719,131,0.1247,,-69,1.2474824549019223
63,Finding Her,Kushagra,1,False,441799706,746573,81,0.169,,-18,1.6898449414317969
64,Busy Woman,Sabrina Carpenter,1,False,441048997,503710,150,0.1142,,-86,1.142072654703095
65,ANSIEDAD,Fuerza Regida,1,False,437195303,935479,54,0.214,,11,2.139727923518593
66,Saiyaara,Tanishk Bagchi,1,False,435404301,569590,121,0.1308,,-55,1.308186431286111
67,Dracula,Tame Impala,1,False,431257642,2086079,17,0.4837,,50,4.837198908495635
68,VITAMINA,Jombriel,1,False,429397922,387182,208,0.0902,,-140,0.9016857773669297
69,Choosin' Texas,Ella Langley,1,False,424686832,2929067,4,0.6897,,65,6.897004504022379
70,I'm The Problem,Morgan Wallen,1,False,422721736,758689,78,0.1795,,-8,1.7947716750605611
71,2+2,Omar Camacho,1,False,421820248,608401,109,0.1442,,-38,1.4423228885818613
72,TATTOO,Tito Double P,1,False,416827012,484683,158,0.1163,,-86,1.162791721466478
73,Sorry I'm Here For Someone Else,Benson Boone,1,False,416464476,516665,144,0.1241,,-71,1.2405980066338287
74,What I Want,Morgan Wallen,1,False,410976822,727053,85,0.1769,,-11,1.7690851632282922
75,Dark Thoughts,Lil Tecca,1,False,410779727,431495,186,0.105,,-111,1.0504291487334545
76,Tubarões,Diego & Victor Hugo,2,True,410283212,457935,172,0.1116,,-96,1.1161436429523135
77,PERFuMITO NUEVO,Bad Bunny,1,False,408310809,426481,189,0.1045,,-112,1.044500879121961
78,Fame is a Gun,Addison Rae,1,False,408261627,907098,60,0.2222,,18,2.221854658356479
79,YUKON,Justin Bieber,1,False,403396306,1003931,49,0.2489,,30,2.488696556163564
80,Eternity,Alex Warren,1,False,398670565,568769,122,0.1427,,-42,1.4266641395341937
81,Cry For Me,The Weeknd,1,False,398635434,424259,193,0.1064,,-112,1.0642781919274185
82,7 DIAS,Gabito Ballesteros,1,False,397923828,294851,283,0.0741,,-201,0.7409734690706345
83,When Did You Get Hot?,Sabrina Carpenter,1,False,396777172,658634,97,0.166,,-14,1.6599594049731283
84,POR SUS BESOS,Tito Double P,1,False,393452063,900339,61,0.2288,,23,2.2883067147920717
85,Sugar On My Tongue,"Tyler, The Creator",2,True,381470994,402538,199,0.1055,,-114,1.055225705954394
86,COMO CAPO,Clave Especial,1,False,376659745,484237,159,0.1286,,-73,1.2856085768188246
87,CAFé CON RON,Bad Bunny,1,False,375349291,750031,79,0.1998,,8,1.998221432638269
88,Sapphire,Ed Sheeran,1,False,370233797,380507,212,0.1028,,-124,1.027747877302115
89,Born Again,LISA,1,False,369943062,257170,320,0.0695,,-231,0.6951610280633915
90,DIE TRYING,PARTYNEXTDOOR,1,False,369537323,560749,128,0.1517,,-38,1.5174353538372216
91,I Got Better,Morgan Wallen,1,False,367594347,1015265,46,0.2762,,45,2.7619167855105324
92,Frecuencia,Los Dareyes De La Sierra,1,False,366952213,643108,100,0.1753,,-8,1.7525660711778672
93,CHANEL,Tyla,1,False,362363125,563283,127,0.1554,,-34,1.554471080481848
94,M&M,Neton Vega,1,False,358624878,286394,293,0.0799,,-199,0.7985893248638781
95,Elizabeth Taylor,Taylor Swift,1,False,356928448,581683,117,0.163,,-22,1.6296907731218702
96,Perlas Negras,Natanael Cano,1,False,355047691,626659,104,0.1765,,-8,1.7649995032216685
97,Blessings,Calvin Harris,1,False,352437146,727824,84,0.2065,,13,2.0651171597413938
98,Cuando No Era Cantante,El Bogueto,1,False,351110526,2081518,18,0.5928,,80,5.928383913137416
99,Crystalised,The xx,1,False,344887513,100108,569,0.029,,-470,0.2902627550616402
100,Amigos? No.,Oscar Maydon,1,False,343129626,329110,249,0.0959,,-149,0.9591418930432376
101,si te pillara,Beéle,1,False,341694253,457637,173,0.1339,,-72,1.3393172248076493
102,Vita Fer,Los Dareyes De La Sierra,1,False,339460458,313579,267,0.0924,,-165,0.9237570729850454
103,Who Knows,Daniel Caesar,1,False,337326315,1276085,35,0.3783,,68,3.7829393660469703
104,Pvta Luna,Neton Vega,1,False,335658751,1129113,37,0.3364,,67,3.363871769385593
105,SPIDER,GIMS,1,False,330147874,251867,330,0.0763,,-225,0.7628914770388875
106,Just In Case,Morgan Wallen,1,False,329878795,412829,195,0.1251,,-89,1.251456610748634
107,Phantom,EsDeeKid,1,False,329347821,657274,98,0.1996,,9,1.995683457108151
108,Killin' It Girl,j-hope,1,False,328497104,302482,276,0.0921,,-168,0.9208056795508137
109,ExtraL,JENNIE,1,False,328470273,235585,348,0.0717,,-239,0.7172186302618057
110,Bloodline,Alex Warren,1,False,326523719,605874,110,0.1856,,0,1.855528290563393
111,Verano Rosa,KAROL G,1,False,326503617,530446,139,0.1625,,-28,1.6246251825607643
112,TURiSTA,Bad Bunny,1,False,325961455,400165,200,0.1228,,-88,1.227645148326985
113,La Perla,ROSALÍA,1,False,323952882,596427,115,0.1841,,-2,1.8410918108730028
114,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG) (from the Netflix film KPop Demon Hunters)",TWICE,1,False,322663165,261854,315,0.0812,,-201,0.8115397962716328
115,The Subway,Chappell Roan,1,False,321326855,441154,177,0.1373,,-62,1.372913566863518
116,FAMOSINHA,Dj Caio Vieira,1,False,321135635,261843,316,0.0815,,-200,0.8153657540516618
117,TU TU TU,Clave Especial,1,False,315329431,341735,235,0.1084,,-118,1.0837396237722587
118,Father Figure,Taylor Swift,1,False,313964565,346642,232,0.1104,,-114,1.1040800062768867
119,KETU TeCRÉ,Bad Bunny,1,False,311195782,366089,220,0.1176,,-101,1.1763944757567617
120,Midnight Sun,Zara Larsson,1,False,311013242,1756173,22,0.5647,,98,5.646618076645694
121,BOKeTE,Bad Bunny,1,False,310413728,362657,224,0.1168,,-103,1.168302063083041
122,A Couple Minutes,Olivia Dean,1,False,306713434,841399,67,0.2743,,55,2.7432740271061165
123,Casanova,Soolking,1,False,305865540,119718,531,0.0391,,-408,0.39140728180295403
124,TIT FOR TAT,Tate McRae,1,False,305725341,397357,201,0.13,,-77,1.299718882970454
125,Rein Me In,Sam Fender,1,False,305483699,1684118,23,0.5513,,102,5.512955355719471
126,4 Raws,EsDeeKid,1,False,305161915,766838,77,0.2513,,49,2.5128889281190645
127,LA MuDANZA,Bad Bunny,1,False,305035830,534318,138,0.1752,,-11,1.751656512772101
128,YOGURCITO REMIX,Blessd,1,False,304799934,822361,70,0.2698,,58,2.6980353522713187
129,White Keys,Dominic Fike,1,False,304456164,2278035,15,0.7482,,114,7.482308660098901
130,RATHER LIE,Playboi Carti,1,False,303923954,279742,296,0.092,,-166,0.9204341921649447
131,Chiquita,Neton Vega,1,False,302353284,164073,446,0.0543,,-315,0.54265327396724
132,Lose My Mind,Don Toliver,1,False,302209343,516377,145,0.1709,,-13,1.708673177226446
133,CHAVALITAS,Fuerza Regida,1,False,301971241,1062695,42,0.3519,,91,3.5191927316045546
134,Sedia Aku Sebelum Hujan,Idgitaf,1,False,301224786,737654,82,0.2449,,52,2.4488489388491126
135,Show Me Love,WizTheMc,1,False,300140092,539297,136,0.1797,,-1,1.7968175947756504
136,MONTAGEM XONADA,MXZI,1,False,300090632,438811,180,0.1462,,-44,1.4622615694905745
137,DIA DELÍCIA,Nakama,1,False,299886609,315055,265,0.1051,,-128,1.0505804177118812
138,"Tonight, Tonight",The Smashing Pumpkins,1,False,297205135,193324,407,0.065,,-269,0.6504732811885189
139,Coleccionando Heridas,KAROL G,1,False,297001643,657213,99,0.2213,,40,2.212826135063414
140,Nobody’s Son,Sabrina Carpenter,1,False,294810868,664854,95,0.2255,,45,2.2551882237421847
141,TABOLA BALE,Silet Open Up,1,False,293724231,271067,304,0.0923,,-163,0.9228622308560501
142,top diesel,Beéle,1,False,293676679,375756,215,0.1279,,-73,1.2794887220871605
143,Wish I Knew You,The Revivalists,1,False,292052013,142324,485,0.0487,,-342,0.4873241517861952
144,twilight zone,Ariana Grande,1,False,291088885,317829,259,0.1092,,-115,1.0918623667411333
145,Apaguei pra todos,Ferrugem,1,False,290040267,271789,302,0.0937,,-157,0.9370733307969499
146,Garam & Madu (Sakit Dadaku),Tenxi,1,False,290017191,161568,453,0.0557,,-307,0.5570980081760118
147,dopamina,Peso Pluma,1,False,289145336,968012,51,0.3348,,96,3.3478388759214193
148,Ya Borracho,Herencia De Grandes,1,False,283940668,1085905,38,0.3824,,110,3.8244081195709234
149,SOLEAO,Myke Towers,1,False,283631073,514761,146,0.1815,,3,1.81489634665347
150,Chula Vente,Luis R Conriquez,1,False,280140409,406113,198,0.145,,-48,1.4496766103826293
151,Wi$h Li$t,Taylor Swift,1,False,279598120,333020,244,0.1191,,-93,1.1910666595645683
152,Real Man,beabadoobee,1,False,278155906,253503,327,0.0911,,-175,0.9113701834849044
153,ライラック,Mrs. GREEN APPLE,1,False,278065024,226117,360,0.0813,,-207,0.8131802983852428
